seed,teacher,method,evals,fid
0,ocsvm,normals_only,500,-0.07185763143052572
0,ocsvm,uniform_shell,500,0.27274774699098797
0,ocsvm,score,500,0.29233201732806935
0,ocsvm,combined_FD,2500,-0.009714086856347426
0,ocsvm,combined_K4,4500,0.3154120456481826
0,ocsvm,score,1000,0.33775421501686
0,ocsvm,combined_FD,5000,0.26704522818091275
0,ocsvm,combined_K4,9000,0.43051564206256826
0,ocsvm,score,2000,0.32254132216528864
0,ocsvm,combined_FD,10000,0.1802559850239401
0,ocsvm,combined_K4,18000,0.21915178860715442
0,ocsvm,score,5000,0.23084492337969353
0,ocsvm,combined_FD,25000,0.14483616334465338
0,ocsvm,combined_K4,45000,0.3415500702002808
0,ocsvm,score,12000,0.30429673718694866
0,ocsvm,combined_FD,60000,0.30351414205656824
0,ocsvm,combined_K4,108000,0.2775814623258493
0,ocsvm,score,24000,0.2687188028752115
0,ocsvm,combined_FD,120000,0.24957171828687313
0,ocsvm,combined_K4,216000,0.3795818703274813
0,ae,normals_only,500,0.35223596894387577
0,ae,uniform_shell,500,0.8810901803607213
0,ae,score,500,0.8382038328153313
0,ae,combined_FD,2500,0.8284195696782788
0,ae,combined_K4,4500,0.7939780879123517
0,ae,score,1000,0.8674546698186792
0,ae,combined_FD,5000,0.8233934695738782
0,ae,combined_K4,9000,0.9321404965619862
0,ae,score,2000,0.8540818163272653
0,ae,combined_FD,10000,0.9203504974019895
0,ae,combined_K4,18000,0.9227709550838203
0,ae,score,5000,0.8167964191856767
0,ae,combined_FD,25000,0.8158480313921255
0,ae,combined_K4,45000,0.907197868791475
0,ae,score,12000,0.8624162816651265
0,ae,combined_FD,60000,0.7764515858063431
0,ae,combined_K4,108000,0.8249801639206555
0,ae,score,24000,0.9217321349285397
0,ae,combined_FD,120000,0.7735197340789363
0,ae,combined_K4,216000,0.9244360817443269
1,ocsvm,normals_only,500,0.08299569198276793
1,ocsvm,uniform_shell,500,0.589061524246097
1,ocsvm,score,500,0.28318154872619494
1,ocsvm,combined_FD,2500,0.44375908703634814
1,ocsvm,combined_K4,4500,0.549066708266833
1,ocsvm,score,1000,0.6091727406909627
1,ocsvm,combined_FD,5000,0.41910004440017756
1,ocsvm,combined_K4,9000,0.4946524426097704
1,ocsvm,score,2000,0.4288233472933891
1,ocsvm,combined_FD,10000,0.2925587702350809
1,ocsvm,combined_K4,18000,0.4052934611738447
1,ocsvm,score,5000,0.4094764859059436
1,ocsvm,combined_FD,25000,0.43900908403633615
1,ocsvm,combined_K4,45000,0.3854535418141672
1,ocsvm,score,12000,0.372063024252097
1,ocsvm,combined_FD,60000,0.3761550406201625
1,ocsvm,combined_K4,108000,0.4681018084072336
1,ocsvm,score,24000,0.5398691994767979
1,ocsvm,combined_FD,120000,0.6319916479665919
1,ocsvm,combined_K4,216000,0.5259179436717746
1,ae,normals_only,500,0.4609653318613274
1,ae,uniform_shell,500,0.905941415765663
1,ae,score,500,0.8897168708674834
1,ae,combined_FD,2500,0.8821152724610898
1,ae,combined_K4,4500,0.9124143376573506
1,ae,score,1000,0.9142672410689643
1,ae,combined_FD,5000,0.9087025788103152
1,ae,combined_K4,9000,0.9072373249492998
1,ae,score,2000,0.9299274957099828
1,ae,combined_FD,10000,0.9206574106296426
1,ae,combined_K4,18000,0.8998221592886372
1,ae,score,5000,0.9171349645398581
1,ae,combined_FD,25000,0.9079788319153276
1,ae,combined_K4,45000,0.9220353041412165
1,ae,score,12000,0.9222916251665008
1,ae,combined_FD,60000,0.9224579938319752
1,ae,combined_K4,108000,0.9106942027768112
1,ae,score,24000,0.9248995715982863
1,ae,combined_FD,120000,0.9080509282037127
1,ae,combined_K4,216000,0.8929777159108637
2,ocsvm,normals_only,500,-0.18055358621434484
2,ocsvm,uniform_shell,500,0.16560402241608968
2,ocsvm,score,500,0.2337885831543326
2,ocsvm,combined_FD,2500,0.30223599294397174
2,ocsvm,combined_K4,4500,0.22286095544382178
2,ocsvm,score,1000,0.22137966951867805
2,ocsvm,combined_FD,5000,0.1428191952767811
2,ocsvm,combined_K4,9000,0.2984289057156228
2,ocsvm,score,2000,0.44907962031848125
2,ocsvm,combined_FD,10000,0.705000324001296
2,ocsvm,combined_K4,18000,0.7195701102804412
2,ocsvm,score,5000,0.26833220932883733
2,ocsvm,combined_FD,25000,0.2670745082980332
2,ocsvm,combined_K4,45000,0.1707751791007164
2,ocsvm,score,12000,0.2019058956235825
2,ocsvm,combined_FD,60000,0.20323338893355572
2,ocsvm,combined_K4,108000,0.1915138540554162
2,ocsvm,score,24000,0.46537693350773396
2,ocsvm,combined_FD,120000,0.2113649094596378
2,ocsvm,combined_K4,216000,0.22568355873423493
2,ae,normals_only,500,0.15171113484453935
2,ae,uniform_shell,500,0.6442659690638762
2,ae,score,500,0.7055106620426481
2,ae,combined_FD,2500,0.32480942723770895
2,ae,combined_K4,4500,0.6097228228912915
2,ae,score,1000,0.4527588350353401
2,ae,combined_FD,5000,0.6600348001392005
2,ae,combined_K4,9000,0.6434852939411758
