seed,teacher,S0,S5,S6
0,knn,0.2923252013008052,0.9635181260725043,0.9581050484201937
0,kde,0.2072449888891625,0.9130681040975694,0.940758553770954
0,ocsvm,-0.07185763143052572,0.304125184500738,0.37237934551738205
0,ae,0.35223596894387577,0.9617464389857558,0.9207524510098039
0,ae_kde_max,0.04847645461580182,0.09013005730590316,0.062475084116765396
1,knn,0.4648102789970765,0.9503491872665377,0.9803297145777928
1,kde,0.4495614264449693,0.9551549371274094,0.9603118023195112
1,ocsvm,0.08299569198276793,0.44320362881451525,0.7352433249732999
1,ae,0.4609653318613274,0.9584119616478466,0.9186924747698991
1,ae_kde_max,0.06500886741418586,0.13303132453147312,0.021727369014689468
2,knn,0.16626748106992428,0.9556856467425869,0.9666591626366504
2,kde,0.18242949312969658,0.8706193977471651,0.931279739013334
2,ocsvm,-0.18055358621434484,0.28291121164484656,0.6727703070812283
2,ae,0.15171113484453935,0.7857200388801555,0.5403360493441973
2,ae_kde_max,0.05140595639981788,0.01674193917067908,0.05733704856974701
