d,m,seed,teacher,normals_only,uniform_shell,combined_FD,combined_K4
8,5,0,knn,0.7092262609050436,0.6782855291421166,0.6614963099852399,0.6440555362221448
8,5,0,ocsvm,0.6947851151404605,0.7609948519794079,0.7204464017856071,0.6988091632366529
8,5,0,ae,0.43288692269869716,0.8706902707507538,0.8603695887655632,0.7997636445212615
8,5,1,knn,0.677124500498002,0.6903799455197821,0.6441627686510746,0.6417857991431966
8,5,1,ocsvm,0.6079863679454718,0.7722617450469801,0.7699128076512306,0.8058721514886059
8,5,1,ae,0.5072180434247798,0.8315060743422329,0.7625703636248572,0.8177815437754291
8,5,2,knn,0.6190780603122412,0.7601703046812187,0.5727939711758846,0.7036041904167617
8,5,2,ocsvm,0.6752312769251076,0.8226967947871792,0.7557177108708434,0.7548801075204301
8,5,2,ae,0.4534291348907645,0.8235654009603732,0.8364513570764021,0.8196441350189806
8,5,3,knn,0.5455848703394813,0.7326695546782187,0.6911537086148344,0.7218907275629102
8,5,3,ocsvm,0.6296265825063301,0.7088439873759494,0.7579114156456626,0.710316537266149
8,5,3,ae,0.3378492331893553,0.9195239092164216,0.9026655031730981,0.8920917731921731
8,5,4,knn,0.48653013812055246,0.5301565526262105,0.5338371113484455,0.5293463093852375
8,5,4,ocsvm,0.5100705842823371,0.678377209508838,0.4982913371653486,0.5813520214080856
8,5,4,ae,0.21088830069944975,0.7105858872359448,0.8013140063600734,0.7716566308183653
32,5,0,knn,0.35706162024648097,0.5151441085764343,0.5270820443281772,0.4329467557870231
32,5,0,ocsvm,0.2320318721274885,0.4891610286441146,0.5025417541670166,0.4737701510806043
32,5,0,ae,0.09114743428646349,0.5109657918602243,0.4539735788313201,0.4334466213895989
32,5,1,knn,0.2346392425569702,0.3877651350605402,0.5287765471061884,0.3361991047964191
32,5,1,ocsvm,0.5417305509222037,0.5635477901911606,0.37790839163356654,0.4789736598946395
32,5,1,ae,0.04577069343471644,0.3753278968339294,0.30414579296898064,0.39207753993082506
32,5,2,knn,0.09285723542894171,0.39308941235764944,0.4437200148800595,0.2998473113892456
32,5,2,ocsvm,0.481939591758367,0.5915756783027132,0.40183754335017335,0.40049660998643993
32,5,2,ae,-0.07557578306096961,0.3907921414053042,0.362430057337874,0.3762574608243493
32,5,3,knn,0.2133629654518618,0.4457817191268765,0.46690218760875046,0.4927305149220597
32,5,3,ocsvm,0.3879190236760947,0.37594172776691104,0.4582539930159721,0.5414790299161196
32,5,3,ae,-0.08959717122297066,0.2861426059022657,0.3344919437549686,0.4030975011819236
32,5,4,knn,0.46691841167364667,0.5310908283633134,0.42682145128580506,0.5432778851115404
32,5,4,ocsvm,0.5760351361405446,0.5563989295957184,0.5929096996387985,0.5149602678410714
32,5,4,ae,0.0410102766609478,0.41442447913055586,0.29698467782268917,0.32383252575699434
64,5,0,knn,-0.18014692858771436,0.20509138036552146,0.21660854643418573,0.25155211020844076
64,5,0,ocsvm,-0.20177735110940445,0.3258647594590378,0.216312673250693,0.28057446629786514
64,5,0,ae,-0.06410257915175507,0.27965398042881595,0.16123795246507874,0.16569191734289093
64,5,1,knn,0.11333028004104691,0.4245041082045315,0.37251101898434047,0.37652695514446755
64,5,1,ocsvm,0.17713731654926618,0.3590720602882411,0.3569274117096468,0.4546103944415777
64,5,1,ae,-0.10557105146915713,0.2854401578926735,0.12044271680790826,0.21447667555614897
64,5,2,knn,0.04679953766193412,0.2760276366038438,0.2617444046149628,0.25893082401012135
64,5,2,ocsvm,0.1554942219768879,0.31185763143052564,0.3178027432109728,0.30079742718970875
64,5,2,ae,-0.13421635106258614,0.208799877825592,0.2809371032076854,0.16374252649475568
64,5,3,knn,0.18743269917433011,0.30470278676159546,0.3966942720004164,0.4233460649951039
64,5,3,ocsvm,0.1583070332281329,0.4318351673406693,0.2724118416473666,0.28326641306565226
64,5,3,ae,0.01128463863285352,0.2622031180782059,0.20725636798153316,0.2595591369670471
64,5,4,knn,0.3052377329509318,0.43660744242976973,0.3659812079248317,0.4538919275677103
64,5,4,ocsvm,0.18433820935283737,0.42489289957159826,0.2806210264841059,0.40802380809523237
64,5,4,ae,0.0364845644579357,0.427655863699432,0.2347656085029487,0.3560640461988646
