seed,teacher,width,fidelity
0,knn,4,0.34664145056580226
0,knn,8,0.9572293329173315
0,knn,16,0.9768314593258374
0,knn,32,0.9768998115992462
0,knn,64,0.980633458533834
0,knn,128,0.9830423001692006
0,kde,4,0.363744132056538
0,kde,8,0.9357604260680864
0,kde,16,0.965839096342672
0,kde,32,0.9698732527636197
0,kde,64,0.9713795299301268
0,kde,128,0.9790024526928809
0,ocsvm,4,0.6406280345121379
0,ocsvm,8,0.7741338485353941
0,ocsvm,16,0.8646492505970025
0,ocsvm,32,0.7781372565490262
0,ocsvm,64,0.9111983007932031
0,ocsvm,128,0.9112317089268357
0,ae,4,0.9356999027996113
0,ae,8,0.923509774039096
0,ae,16,0.9353292453169814
0,ae,32,0.9451727406909629
0,ae,64,0.9498779115116461
0,ae,128,0.9450009000035999
0,ae_kde_max,4,0.10102774033623914
0,ae_kde_max,8,0.029359950437168998
0,ae_kde_max,16,0.10864280734253251
0,ae_kde_max,32,-0.07047601499071716
0,ae_kde_max,64,0.1116280738856896
0,ae_kde_max,128,0.13967004284001486
1,knn,4,0.7398962872967221
1,knn,8,0.977851005595307
1,knn,16,0.9819790671862321
1,knn,32,0.9770594737856051
1,knn,64,0.9757321579819744
1,knn,128,0.9832630383431581
1,kde,4,0.960293879626841
1,kde,8,0.9463319072248637
1,kde,16,0.9660598241519147
1,kde,32,0.9745087178449697
1,kde,64,0.9735324181241348
1,kde,128,0.9770857867578826
1,ocsvm,4,0.7007235068940275
1,ocsvm,8,0.6387639950559802
1,ocsvm,16,0.882067080268321
1,ocsvm,32,0.9250150600602401
1,ocsvm,64,0.9119326077304309
1,ocsvm,128,0.8844596018384073
1,ae,4,0.925943959775839
1,ae,8,0.9290957483829935
1,ae,16,0.9504553538214151
1,ae,32,0.9692998451993807
1,ae,64,0.9696252865011459
1,ae,128,0.9800908643634575
1,ae_kde_max,4,0.05399004709680162
1,ae_kde_max,8,0.07781523105084041
1,ae_kde_max,16,0.1358220979903526
1,ae_kde_max,32,0.11728768575536318
1,ae_kde_max,64,0.12692504535857155
1,ae_kde_max,128,0.13887300941436118
2,knn,4,0.9648779715118859
2,knn,8,0.9649888519554077
2,knn,16,0.9664233856935427
2,knn,32,0.9702146328585313
2,knn,64,0.9804609458437834
2,knn,128,0.9759994239976959
2,kde,4,0.9470507743753279
2,kde,8,0.9367999713111729
2,kde,16,0.959980142791435
2,kde,32,0.9761461770651636
2,kde,64,0.9656405607891573
2,kde,128,0.9800065203579752
2,ocsvm,4,0.7916436465745862
2,ocsvm,8,0.6685123060492242
2,ocsvm,16,0.8956766707066829
2,ocsvm,32,0.7579194796779187
2,ocsvm,64,0.8073955815823262
2,ocsvm,128,0.9002271849087397
2,ae,4,0.7654572378289513
2,ae,8,0.5742191928767715
2,ae,16,0.8565740822963291
2,ae,32,0.6740835923343693
2,ae,64,0.7423656894627578
2,ae,128,0.4494589178356713
2,ae_kde_max,4,0.07681492491754881
2,ae_kde_max,8,-0.10168210689904211
2,ae_kde_max,16,0.16007826897164823
2,ae_kde_max,32,0.140684657961946
2,ae_kde_max,64,0.1580232409695047
2,ae_kde_max,128,0.17710410881162925
3,knn,4,0.7246129471269197
3,knn,8,0.9686519842759457
3,knn,16,0.9826031557996207
3,knn,32,0.9817740477867376
3,knn,64,0.9763932697437699
3,knn,128,0.9652232316807817
3,kde,4,0.6845660094168168
3,kde,8,0.9399370036570087
3,kde,16,0.9632341840518585
3,kde,32,0.9763980415653585
3,kde,64,0.9646919501103823
3,kde,128,0.9770913563061941
3,ocsvm,4,0.8439031836127344
3,ocsvm,8,0.8929214596858387
3,ocsvm,16,0.8708764115056461
3,ocsvm,32,0.791066204264817
3,ocsvm,64,0.9129682598730394
3,ocsvm,128,0.8848236352945411
3,ae,4,0.8275762741669274
3,ae,8,0.8400290122767455
3,ae,16,0.844826439581593
3,ae,32,0.8404326459009673
3,ae,64,0.8396503867531566
3,ae,128,0.8468796478437032
3,ae_kde_max,4,0.055472075274933724
3,ae_kde_max,8,0.1316316814236073
3,ae_kde_max,16,0.14205078160210688
3,ae_kde_max,32,0.13574989579627575
3,ae_kde_max,64,0.13867649780303154
3,ae_kde_max,128,0.0551564837897283
4,knn,4,0.7053011892047568
4,knn,8,0.9512359329437317
4,knn,16,0.97675715502862
4,knn,32,0.9746424585698342
4,knn,64,0.980198096792387
4,knn,128,0.9773946935787743
4,kde,4,0.36781433944939207
4,kde,8,0.9533518286844785
4,kde,16,0.9740262723952456
4,kde,32,0.9720141650993683
4,kde,64,0.9757131700471504
4,kde,128,0.9769569440839017
4,ocsvm,4,0.8968661154644617
4,ocsvm,8,0.5946752427009708
4,ocsvm,16,0.8057845031380125
4,ocsvm,32,0.8716469105876423
4,ocsvm,64,0.9179750639002555
4,ocsvm,128,0.914636746546986
4,ae,4,0.9266247944991781
4,ae,8,0.9567006588026351
4,ae,16,0.9431745886983548
4,ae,32,0.9681617606470424
4,ae,64,0.9700219600878404
4,ae,128,0.973879831519326
4,ae_kde_max,4,0.10203320325303093
4,ae_kde_max,8,0.1150438181177147
4,ae_kde_max,16,0.04312386945568108
4,ae_kde_max,32,0.17759000441696968
4,ae_kde_max,64,0.17605990831035345
4,ae_kde_max,128,0.1516678117921246
