dataset,d,seed,cond,metric,value
satellite,36,4,S0_none,auroc_student,0.782
satellite,36,4,S0_none,auroc_teacher,0.83
satellite,36,1,S0_none,auroc_student,0.731
satellite,36,1,S0_none,auroc_teacher,0.826
satellite,36,3,S0_none,auroc_student,0.732
satellite,36,3,S0_none,auroc_teacher,0.842
satellite,36,0,S0_none,auroc_student,0.752
satellite,36,0,S0_none,auroc_teacher,0.847
optdigits,64,4,S0_none,auroc_student,0.89
optdigits,64,4,S0_none,auroc_teacher,0.925
satellite,36,2,S0_none,auroc_student,0.778
satellite,36,2,S0_none,auroc_teacher,0.851
optdigits,64,1,S0_none,auroc_student,0.839
optdigits,64,1,S0_none,auroc_teacher,0.91
optdigits,64,2,S0_none,auroc_student,0.832
optdigits,64,2,S0_none,auroc_teacher,0.878
optdigits,64,0,S0_none,auroc_student,0.93
optdigits,64,0,S0_none,auroc_teacher,0.912
shuttle,9,1,S0_none,auroc_student,0.993
shuttle,9,1,S0_none,auroc_teacher,1.0
shuttle,9,4,S0_none,auroc_student,0.974
shuttle,9,4,S0_none,auroc_teacher,0.999
optdigits,64,3,S0_none,auroc_student,0.757
optdigits,64,3,S0_none,auroc_teacher,0.907
shuttle,9,3,S0_none,auroc_student,0.986
shuttle,9,3,S0_none,auroc_teacher,0.999
shuttle,9,2,S0_none,auroc_student,0.99
shuttle,9,2,S0_none,auroc_teacher,1.0
satellite,36,1,S1_gaussian,auroc_student,0.496
satellite,36,1,S1_gaussian,auroc_teacher,0.826
shuttle,9,0,S0_none,auroc_student,0.991
shuttle,9,0,S0_none,auroc_teacher,0.999
satellite,36,3,S1_gaussian,auroc_student,0.715
satellite,36,3,S1_gaussian,auroc_teacher,0.842
optdigits,64,4,S1_gaussian,auroc_student,0.821
optdigits,64,4,S1_gaussian,auroc_teacher,0.925
satellite,36,4,S1_gaussian,auroc_student,0.694
satellite,36,4,S1_gaussian,auroc_teacher,0.83
optdigits,64,1,S1_gaussian,auroc_student,0.828
optdigits,64,1,S1_gaussian,auroc_teacher,0.91
satellite,36,0,S1_gaussian,auroc_student,0.535
satellite,36,0,S1_gaussian,auroc_teacher,0.847
optdigits,64,0,S1_gaussian,auroc_student,0.869
optdigits,64,0,S1_gaussian,auroc_teacher,0.912
optdigits,64,3,S1_gaussian,auroc_student,0.895
optdigits,64,3,S1_gaussian,auroc_teacher,0.907
optdigits,64,2,S1_gaussian,auroc_student,0.697
optdigits,64,2,S1_gaussian,auroc_teacher,0.878
satellite,36,2,S1_gaussian,auroc_student,0.651
satellite,36,2,S1_gaussian,auroc_teacher,0.851
satellite,36,3,S2_uniform,auroc_student,0.865
