dataset,d,seed,teacher_auroc,fid_normals_only,auroc_normals_only,fid_uniform_shell,auroc_uniform_shell,fid_score_shell,auroc_score_shell
23_mammography,6,0,0.8787658495350803,0.4235930662407139,0.7821696252465483,0.7175249088200141,0.8357255564947872,0.7401332123233029,0.8286587771203154
23_mammography,6,1,0.8240581854043393,0.3290303460941982,0.6100049309664693,0.05970683854665938,0.7529466046773738,0.03545672895629466,0.6666448295294448
23_mammography,6,2,0.7938863060016906,0.8276804315853603,0.7733918005071851,0.43504346285585543,0.736651169343477,0.4841876926046514,0.7427056917441534
23_mammography,6,3,0.8460369118061427,0.7763822576007416,0.8044794308255847,0.33592985098915223,0.7104282896590589,0.8663731490252856,0.8550133840518457
23_mammography,6,4,0.8469167371090449,0.6081721512905692,0.7985453648915186,0.5863429232964422,0.7444808396731474,0.7961618768041597,0.810558608058608
38_thyroid,6,0,0.9141657013818199,0.3360920151352575,0.9164706845917138,0.41512069023089837,0.9035885195455555,-0.094864260416977,0.9379760609357998
38_thyroid,6,1,0.9471374916634492,-0.22262134581972326,0.7325985468075398,0.3453165327819473,0.9257608199656008,-0.24445445530784468,0.869984906455123
38_thyroid,6,2,0.9568020405536639,0.11110240805715217,0.8330349725625095,-0.283772449926142,0.9019504604116209,0.3280690560620988,0.919547895679034
38_thyroid,6,3,0.9505657154223268,0.013619200382393252,0.8559561000152105,0.6542290734924119,0.9475119051797769,0.19583290763548702,0.9056243930405887
38_thyroid,6,4,0.9438847742403501,-0.24165312152474427,0.8313033100494928,0.5546260775999172,0.9406788585067921,0.5344696610339752,0.933459697895094
6_cardio,21,0,0.9116136363636363,0.4479084690164487,0.7651818181818182,0.6079951924252145,0.8069659090909092,0.8136785995364837,0.8470113636363635
6_cardio,21,1,0.9318409090909091,0.3849340354154074,0.6248409090909092,0.7430648782438715,0.6986363636363636,0.4802103268672925,0.6865454545454545
6_cardio,21,2,0.9049204545454546,0.677888043084724,0.6421022727272727,0.5873698318325821,0.7696477272727272,-0.43594281005589286,0.5194545454545455
6_cardio,21,3,0.9196363636363637,0.506394533605389,0.6488977272727272,0.4739530431345741,0.697840909090909,0.7015176638037696,0.7350568181818181
6_cardio,21,4,0.9043295454545454,0.5961568056373353,0.58325,0.8085627015686024,0.7318068181818181,0.6214976272346119,0.6929431818181817
30_satellite,36,0,0.8054379673609336,0.7070435915203296,0.7851882672406242,0.7685024806715066,0.7738616638451459,0.725948106075348,0.6955372002767295
30_satellite,36,1,0.7894697090228481,0.07118898153008492,0.5709481382431966,0.4706343763011244,0.6428379255297278,0.2958310000836174,0.7267331794755368
30_satellite,36,2,0.8035519877867179,0.6331098647270408,0.6728294699056653,0.8554671143970998,0.7827128073208186,0.7638953713928966,0.7468492521331234
30_satellite,36,3,0.7985206233207184,-0.3088918051534394,0.4828947909422926,0.3653270969680734,0.6547213845056499,0.7244692489530622,0.7074188715942873
30_satellite,36,4,0.7685415925533303,0.6938184426389279,0.6720312804460565,0.9108574716289752,0.7616376559508465,0.861425859946143,0.7259332023575638
28_pendigits,16,0,0.9876608294367532,0.5651688767365776,0.7020682436355857,0.5387144189281029,0.6847552030805905,0.3615969401463545,0.7780706579872252
28_pendigits,16,1,0.9831109990525961,0.5189107173902735,0.8749656184101954,0.48853029033838563,0.7862687570673268,-0.061731282894216935,0.9483359310534518
28_pendigits,16,2,0.9901706854924972,-0.01840653696006069,0.8158063628862199,0.25146749695753184,0.8678333486140399,0.3690442698866779,0.7135516946303596
28_pendigits,16,3,0.9911524708902539,0.27096774193548384,0.9718032761834907,0.4808933002481389,0.8850738058127807,0.4889064500324003,0.5800900033617555
28_pendigits,16,4,0.9859608508297424,-0.09903431271830695,0.9751688518077076,-0.11840495645714465,0.8816203661257296,0.225512478070522,0.846532043641698
40_vowels,12,0,0.9823599999999999,0.28120647423274575,0.8888400000000001,0.46832524854713986,0.9183600000000001,0.5469958215263436,0.985
40_vowels,12,1,0.96848,0.10926468469333844,0.7210799999999999,0.5782143028672975,0.92008,0.6628404015176984,0.9324
40_vowels,12,2,0.9745999999999999,0.10138558704265586,0.55948,0.1993612372402011,0.7336799999999999,0.4215354322469874,0.8082400000000001
40_vowels,12,3,0.98824,-0.2790865212244781,0.45252000000000003,0.6069353057009749,0.98444,0.42537761460767554,0.9454400000000001
40_vowels,12,4,0.9774,0.5004922797591268,0.6868799999999999,0.5814662730106275,0.94956,0.7629316555400796,0.92548
32_shuttle,9,0,0.9977916519500114,0.6095705880742154,0.9859325187579245,-0.14822801234967675,0.9961520424351527,-0.11381239295211455,0.9892343563662276
32_shuttle,9,1,0.9985850517038213,-0.3808394891636998,0.9874595227414936,0.017810995974529096,0.996995452990896,0.48253035966009,0.9074648957161062
32_shuttle,9,2,0.9998207508888226,0.11297283973931856,0.784216061060265,0.09409911087220085,0.9275719873128019,0.23155596267349474,0.9881501266790357
32_shuttle,9,3,0.9990463707353483,0.4328812976777476,0.7181801336600538,0.6627209588998821,0.8826787075149365,0.46421732439497343,0.6725918636699041
32_shuttle,9,4,0.9980283597486673,0.5745448572201486,0.914792877801992,-0.00991436710234533,0.9891978667256367,0.1591562652053877,0.9923829124911439
26_optdigits,64,0,0.8806898367561875,0.25709348158868384,0.8536334913112164,0.31884413555977664,0.8284623486045286,0.27569770274138455,0.7492627698788836
26_optdigits,64,1,0.8064507635597683,0.2068279482907905,0.6295471300684572,0.37420548916976165,0.5888888888888889,0.24197022509425892,0.6413059505002633
26_optdigits,64,2,0.7894628751974723,0.05026375537155993,0.7731068983675619,0.347468724081328,0.7824328593996841,0.20094283349653733,0.7779462875197473
26_optdigits,64,3,0.8222274881516588,0.1168008704727328,0.7075144813059506,0.07116150149434708,0.6995471300684571,0.21460815392575022,0.8363401790416009
26_optdigits,64,4,0.8369036334913112,0.47669896266999123,0.6159768299104791,0.3537735597463254,0.6010215903106898,0.3892638331318579,0.5569088994207478
