dataset,teacher,d,seed,sampler,teacher_auroc,coverage,coverage_wide,radiality,fid,student_auroc,topk
20_letter,kde,32,4,normals_only,0.9238400000000001,1.0,1.0,0.9284848484848484,0.1172157215721572,0.5566,0.32
20_letter,kde,32,4,gaussian_jitter,0.9238400000000001,1.0,1.0,0.9284848484848484,0.08490849084908489,0.45378,0.16
20_letter,kde,32,4,uniform_box,0.9238400000000001,1.0,1.0,0.9284848484848484,0.34096609660966093,0.6304000000000001,0.5
20_letter,kde,32,4,uniform_shell,0.9238400000000001,1.0,1.0,0.9284848484848484,0.028214821482148215,0.5243599999999999,0.35
20_letter,kde,32,4,wide_shell,0.9238400000000001,1.0,1.0,0.9284848484848484,0.03307530753075307,0.42908,0.08
20_letter,kde,32,4,multiscale_shell,0.9238400000000001,1.0,1.0,0.9284848484848484,0.31950795079507943,0.64932,0.37
20_letter,kde,32,4,shell_box_mix,0.9238400000000001,1.0,1.0,0.9284848484848484,0.23211521152115208,0.67944,0.37
20_letter,ocsvm,32,1,normals_only,0.5816,1.0,1.0,0.4993939393939393,-0.0393039303930393,0.44924,0.42
20_letter,ocsvm,32,1,gaussian_jitter,0.5816,1.0,1.0,0.4993939393939393,0.49514551455145506,0.59306,0.51
20_letter,ocsvm,32,1,uniform_box,0.5816,1.0,1.0,0.4993939393939393,0.30660666066606657,0.5814,0.48
20_letter,ocsvm,32,1,uniform_shell,0.5816,1.0,1.0,0.4993939393939393,0.5352415241524152,0.57926,0.42
20_letter,ocsvm,32,1,wide_shell,0.5816,1.0,1.0,0.4993939393939393,0.4466246624662466,0.53262,0.52
20_letter,ocsvm,32,1,multiscale_shell,0.5816,1.0,1.0,0.4993939393939393,0.27732373237323726,0.6079,0.45
20_letter,ocsvm,32,1,shell_box_mix,0.5816,1.0,1.0,0.4993939393939393,0.3106390639063906,0.5828800000000001,0.42
20_letter,iforest,32,9,normals_only,0.6307400000000001,1.0,1.0,0.5666246624662465,0.15901590159015902,0.49076,0.52
20_letter,iforest,32,9,gaussian_jitter,0.6307400000000001,1.0,1.0,0.5666246624662465,0.4761356135613561,0.58568,0.53
20_letter,iforest,32,9,uniform_box,0.6307400000000001,1.0,1.0,0.5666246624662465,0.46815481548154814,0.548,0.65
