D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
2,2,1,64,1,sobol,0.99335,0.9470330545599362,0.9807737514809987
2,2,1,64,1,random,0.9946,0.956989247311828,0.9855012644291528
2,2,1,64,1,adaptive,0.99605,0.9685384309040223,0.995251206817291
2,2,1,64,2,sobol,0.99645,0.9716113554578168,0.9985433694148241
2,2,1,64,2,random,0.9968,0.9744102359056377,0.9981876087934132
2,2,1,64,2,adaptive,0.9977,0.9816073570571772,0.998972669924836
2,2,1,64,3,sobol,0.9963,0.9707394226967181,0.9928080424577282
2,2,1,64,3,random,0.99295,0.9442467378410438,0.9804448900088736
2,2,1,64,3,adaptive,0.997,0.9762752075919335,0.9968519551053382
2,2,1,64,0,sobol,0.999,0.9920948616600791,0.9969496663718088
2,2,1,64,0,random,0.99425,0.9545454545454546,0.9748218865404965
2,2,1,64,0,adaptive,0.99745,0.9798418972332016,0.9955676482986024
2,2,1,64,4,sobol,0.993,0.9439551641313051,0.9667438649138206
2,2,1,64,4,random,0.9876,0.900720576461169,0.9346833896272582
2,2,1,64,4,adaptive,0.9976,0.9807846277021617,0.9977022490568959
2,2,1,128,1,sobol,0.9941,0.9530067702110713,0.9892918558550464
2,2,1,128,1,random,0.99055,0.9247311827956989,0.9714315655518996
2,2,1,128,1,adaptive,0.99445,0.955794504181601,0.9953377034367231
2,2,1,128,0,sobol,0.99705,0.9766798418972332,0.9931703276855723
2,2,1,128,0,random,0.9959,0.9675889328063241,0.9875778622640575
2,2,1,128,0,adaptive,0.99895,0.991699604743083,0.9992796542987085
2,2,1,128,2,sobol,0.9975,0.9800079968012795,0.9978730142475385
2,2,1,128,2,random,0.99655,0.9724110355857657,0.9961837975601128
2,2,1,128,2,adaptive,0.9992,0.9936025589764095,0.9992139516375705
2,2,1,128,3,sobol,0.9973,0.9786476868327402,0.9957360095449944
2,2,1,128,3,random,0.99715,0.9774614472123369,0.994309412773107
2,2,1,128,3,adaptive,0.99855,0.9885330170027679,0.9987978358827665
2,2,1,128,4,sobol,0.99445,0.955564451561249,0.982904918300701
2,2,1,128,4,random,0.99375,0.9499599679743795,0.974949818042002
2,2,1,128,4,adaptive,0.9985,0.9879903923138511,0.999075857283617
2,2,1,256,0,sobol,0.99695,0.9758893280632411,0.9941762157869614
2,2,1,256,0,random,0.9949,0.9596837944664032,0.9839106572830615
2,2,1,256,0,adaptive,0.99905,0.9924901185770751,0.9983452255271057
2,2,1,256,1,sobol,0.99475,0.9581839904420549,0.9899612767340338
2,2,1,256,1,random,0.9951,0.9609717244125846,0.9892233378352597
2,2,1,256,1,adaptive,0.9906,0.9251294305057746,0.9973722252888925
2,2,1,256,2,sobol,0.9939,0.9512195121951219,0.9946834380875949
2,2,1,256,2,random,0.99465,0.9572171131547381,0.9913475822141169
2,2,1,256,2,adaptive,0.9974,0.9792083166733306,0.997794221400169
2,2,1,256,3,sobol,0.99565,0.9655990510083037,0.9932902153006812
2,2,1,256,3,random,0.99645,0.9719256623171214,0.9936527700597323
2,2,1,256,3,adaptive,0.99365,0.9497825227362594,0.9946110226688868
2,2,1,256,4,sobol,0.9975,0.9799839871897518,0.9948586524687223
2,2,1,256,4,random,0.9968,0.9743795036028823,0.9938453707916841
2,2,1,256,4,adaptive,0.9951,0.9607686148919136,0.9976750226734836
2,2,1,512,0,sobol,0.9964,0.9715415019762846,0.9981375373095057
2,2,1,512,0,random,0.99855,0.9885375494071146,0.9980459708733096
2,2,1,512,0,adaptive,0.9984,0.9873517786561264,0.9989766294235224
2,2,1,512,1,sobol,0.99615,0.9693349263241736,0.9962415623748719
