D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
6,2,1,256,3,sobol,0.95645,0.7510687273923051,0.6506395423997573
6,2,1,256,3,random,0.94265,0.7056889181190398,0.5431414671997322
6,2,1,256,3,adaptive,0.95615,0.736270963498849,0.6280508096671009
6,2,1,256,2,sobol,0.92745,0.6401219925449,0.40364656202891697
6,2,1,256,2,random,0.9354,0.6811250423585226,0.47296428267742013
6,2,1,256,2,adaptive,0.96255,0.7627922738054896,0.6816394542489901
6,2,1,256,0,sobol,0.9342,0.690920798454604,0.49073450343749264
6,2,1,256,0,random,0.93335,0.6767546683837733,0.47367064061508757
6,2,1,256,0,adaptive,0.9432,0.6973599484867997,0.4850369680322821
6,2,1,256,1,sobol,0.97845,0.8467100506146059,0.8336753457608584
6,2,1,256,1,random,0.9649,0.765003615328995,0.7013619056277025
6,2,1,256,1,adaptive,0.9703,0.792118582791034,0.7553674511453622
6,2,1,256,7,sobol,0.967,0.7908902691511387,0.7325138978427523
6,2,1,256,7,random,0.95285,0.7208419599723948,0.5711668552511497
6,2,1,256,7,adaptive,0.9675,0.7860593512767425,0.7129445517827471
6,2,1,256,4,sobol,0.95305,0.7207518220176448,0.5441219709534757
6,2,1,256,4,random,0.93635,0.6777905638665133,0.4621757761494164
6,2,1,256,4,adaptive,0.96165,0.7368622938243191,0.6253080814579537
6,2,1,256,6,sobol,0.9519,0.7304918032786886,0.6241604806636492
6,2,1,256,6,random,0.949,0.7298360655737705,0.5938932301602108
6,2,1,256,6,adaptive,0.95795,0.7577049180327868,0.6460467929365971
6,2,1,256,5,sobol,0.9454,0.6976902173913043,0.5353951870059062
6,2,1,256,5,random,0.94335,0.6891983695652174,0.5095154144701194
6,2,1,256,5,adaptive,0.9496,0.7014266304347826,0.5538596085836097
6,2,1,512,0,sobol,0.9868,0.9150032195750161,0.9362270791420285
6,2,1,512,0,random,0.96925,0.8110109465550547,0.7803076501215074
6,2,1,512,0,adaptive,0.9821,0.8847392144236961,0.9110499235221715
6,2,1,512,1,sobol,0.9938,0.9551699204627621,0.9794314210360402
6,2,1,512,1,random,0.98985,0.9266088214027477,0.9527140844992612
6,2,1,512,1,adaptive,0.9922,0.9436008676789588,0.9824090126979103
6,2,1,512,2,sobol,0.98875,0.9237546594374788,0.968956549366538
6,2,1,512,2,random,0.98955,0.9291765503219248,0.9566166036442829
6,2,1,512,2,adaptive,0.99035,0.9345984412063707,0.9665193474959409
6,2,1,512,3,sobol,0.9915,0.9440973364024992,0.9731166953637154
6,2,1,512,3,random,0.9859,0.9072673462676751,0.9282173965220739
6,2,1,512,3,adaptive,0.98955,0.9312726076948372,0.9591857682198096
6,2,1,512,5,sobol,0.9918,0.9442934782608695,0.9690743714242264
6,2,1,512,5,random,0.98505,0.8984375,0.9244292875816417
6,2,1,512,5,adaptive,0.99205,0.9459918478260869,0.9818621075476496
6,2,1,512,4,sobol,0.99195,0.9382431914077484,0.971331639767903
6,2,1,512,4,random,0.98855,0.9121595703874185,0.9367670099994183
6,2,1,512,4,adaptive,0.99235,0.9413118527042578,0.977176293633562
6,2,1,512,6,sobol,0.9886,0.9252459016393443,0.9539828672055456
6,2,1,512,6,random,0.99055,0.9380327868852459,0.9661172721472787
6,2,1,512,6,adaptive,0.9925,0.9508196721311475,0.9792253953463049
6,2,1,512,7,sobol,0.99225,0.9465148378191857,0.9784251454733278
6,2,1,512,7,random,0.9882,0.9185645272601795,0.9491824415423115
6,2,1,512,7,adaptive,0.99275,0.9499654934437544,0.9804742203416972
6,2,1,1024,2,sobol,0.9888,0.9240935276177566,0.9872142649448596
6,2,1,1024,2,random,0.98725,0.9135886140291427,0.9614496100867942
