dataset,teacher,seed,n_pos,n_neg,R_raw,R_tkcd,best_lam,R_tkcd_l0.3,deltaR,deltaR_l0.3
6_cardio,knn,0,92,182,0.08823529411764708,0.20588235294117652,0.1,0.4411764705882353,-0.11764705882352944,-0.3529411764705882
6_cardio,knn,1,92,182,0.23529411764705888,0.23529411764705888,0.1,0.2647058823529411,0.0,-0.02941176470588225
6_cardio,knn,2,92,182,0.2647058823529411,0.38235294117647056,0.1,0.47058823529411764,-0.11764705882352944,-0.20588235294117652
6_cardio,ae,0,92,182,0.5294117647058824,0.3529411764705882,0.1,0.47058823529411764,0.17647058823529416,0.05882352941176472
6_cardio,ae,1,92,182,0.5882352941176471,0.3529411764705882,0.3,0.3529411764705882,0.23529411764705888,0.23529411764705888
6_cardio,ae,2,92,182,0.38235294117647056,0.32352941176470584,0.1,0.5,0.05882352941176472,-0.11764705882352944
40_vowels,knn,0,86,170,0.2857142857142857,0.4285714285714286,0.1,0.5,-0.1428571428571429,-0.2142857142857143
40_vowels,knn,1,86,170,0.3214285714285714,0.25,0.3,0.25,0.0714285714285714,0.0714285714285714
40_vowels,knn,2,86,170,0.1785714285714286,0.2142857142857143,0.1,0.25,-0.0357142857142857,-0.0714285714285714
40_vowels,ae,0,86,170,0.4285714285714286,0.5357142857142857,0.3,0.5357142857142857,-0.1071428571428571,-0.1071428571428571
40_vowels,ae,1,86,170,0.5,0.4642857142857143,0.1,0.5,0.0357142857142857,0.0
40_vowels,ae,2,86,170,0.2857142857142857,0.3928571428571429,0.3,0.3928571428571429,-0.1071428571428572,-0.1071428571428572
38_thyroid,knn,0,142,284,0.039215686274509776,0.019607843137254943,0.3,0.019607843137254943,0.019607843137254832,0.019607843137254832
38_thyroid,knn,1,142,284,0.019607843137254943,0.019607843137254943,0.1,0.019607843137254943,0.0,0.0
38_thyroid,knn,2,142,284,0.039215686274509776,0.039215686274509776,0.1,0.039215686274509776,0.0,0.0
38_thyroid,ae,0,142,284,0.33333333333333337,0.3529411764705882,0.1,0.3529411764705882,-0.019607843137254832,-0.019607843137254832
38_thyroid,ae,1,142,284,0.2941176470588235,0.27450980392156865,0.1,0.27450980392156865,0.019607843137254832,0.019607843137254832
38_thyroid,ae,2,142,284,0.27450980392156865,0.27450980392156865,0.1,0.27450980392156865,0.0,0.0
